"BehaviorSpace results (NetLogo 6.1.1)"
"Citizen_Model_Experiments.nlogo"
"experiment_5_increase_social_support"
"11/14/2020 09:57:52:985 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","814","0","784"
"[run number]","number-supported-initiatives","number-waste-collectors","debug?","number-cw","interaction-chance","resolution","verbose?","number-police-officers","random-seed","[step]","mean [pls] of citizens","standard-deviation [pls] of citizens"
"2","24","4","true","3","20","45","false","2","2","45","40.595761455704704","10.123742743736313"
"3","24","4","true","3","20","45","false","2","3","48","39.10333219894328","9.821750887640382"
"1","24","4","true","3","20","45","false","2","1","48","39.83476082166312","9.694632508924089"
"4","24","4","true","3","20","45","false","2","4","49","38.94557927776513","9.733207896840163"
"2","24","4","true","3","20","45","false","2","2","46","40.59656288427614","10.123798504902913"
"3","24","4","true","3","20","45","false","2","3","49","39.103831484657555","9.821732026871404"
"2","24","4","true","3","20","45","false","2","2","47","40.59716288427611","10.123827209836733"
"1","24","4","true","3","20","45","false","2","1","49","39.83489796452029","9.694661055547462"
"4","24","4","true","3","20","45","false","2","4","50","38.94574642062228","9.73331234168121"
"2","24","4","true","3","20","45","false","2","2","48","40.5976664557047","10.123901472009694"
"3","24","4","true","3","20","45","false","2","3","50","39.10438434180042","9.821598624006592"
"4","24","4","true","3","20","45","false","2","4","51","38.946027134908","9.733318227180924"
"1","24","4","true","3","20","45","false","2","1","50","39.834921535948865","9.694641668958523"
"3","24","4","true","3","20","45","false","2","3","51","39.10500362751471","9.82145721646557"
"4","24","4","true","3","20","45","false","2","4","52","38.94646427776512","9.733325238889055"
"2","24","4","true","3","20","45","false","2","2","49","40.597938598561825","10.123993894250203"
"1","24","4","true","3","20","45","false","2","1","51","39.83496867880599","9.694619671990482"
"3","24","4","true","3","20","45","false","2","3","52","39.105907913228975","9.821248989860178"
"4","24","4","true","3","20","45","false","2","4","53","38.94690999205086","9.733269317596802"
"2","24","4","true","3","20","45","false","2","2","50","40.59809931284756","10.124049569896272"
"1","24","4","true","3","20","45","false","2","1","52","39.83505867880598","9.694674038179915"
"3","24","4","true","3","20","45","false","2","3","53","39.10708219894327","9.821198177462252"
"4","24","4","true","3","20","45","false","2","4","54","38.94738784919369","9.733293028409438"
